Algorithm: IQL
Environment: MEC-v1-game-theory-discrete-ma
Device: cpu
Seed: 42
Timesteps: 100000
Final evaluation:
  eval/reward_mean: -2427.0263
  eval/reward_std: 3100.2516
  eval/latency_mean: 1.2836
  eval/energy_mean: 61.8126
  eval/e2e_latency_mean: 1.2836
  eval/e2e_latency_p95: 2.5452
  eval/deadline_miss_rate: 0.0607
  eval/throughput_tasks_per_step: 3.0000
  eval/comm_score: 78.1266
  eval/latency_total_mean: 385.0820
  eval/energy_total_mean: 61.8126
  eval/latency_per_step_mean: 3.8508
  eval/energy_per_step_mean: 0.6181
  eval/latency_per_task_mean: 1.2836
  eval/energy_per_task_mean: 0.2060
  eval/episode_steps_mean: 100.0000
  eval/episode_tasks_mean: 300.0000
